"title";"description";"skillType";"uri"
"geophysics";"The scientific field that deals with the physical processes and properties of, and spatial environment surrounding Earth. Geophysics also deals with the quantitative analysis of phenomena such as magnetic fields, the internal structure of Earth, and its hydrological cycle.";"knowledge";"http://data.europa.eu/esco/skill/82fc3feb-752b-4d49-803d-c08a717917aa"
"prepare equipment for textile printing";"Manufacture screens and prepare printing paste. Use tools and equipment associated with screen printing. Select screen types and mesh for appropriate substrates. Develop, dry and finish screen image. Prepare screens, test screens and printed quality. ";"skill";"http://data.europa.eu/esco/skill/280bfb86-e53a-45c7-80a5-f58f4a78ba25"
"pest management techniques";"Techniques and measures used to prevent unwanted pests in houses, buildings and their surroundings by preventing access or by deploying other techniques such as wood protection and bird management devices.";"knowledge";"http://data.europa.eu/esco/skill/6e84c2b5-935a-4958-a410-da42efaf7c27"
"simplify communication in maritime management";"Develop programs and procedures that simplify the exchange information between departments and stakeholders in maritime ship operations and management. Facilitate straightforward dialogue between the different actors involved in operations, such as crew, port servants, ship management, regulatory bodies, and clients.";"skill";"http://data.europa.eu/esco/skill/52c01fa8-ac34-4f81-97a8-55dcdc8645d1"
"assemble windows";"Assemble the profiles to build window or glass door frames using cutting, trimming, sealing and welding equipment,fix the metal fittings with power tools, and insert the glass pane.";"skill";"http://data.europa.eu/esco/skill/1d865d83-30a6-4a9d-b9c2-b735bbf30898"
"natural fertilisers";"The composition and action of natural/organic fertilisers such as mineral fertilisers or fertilisers from animal or plant sources.";"knowledge";"http://data.europa.eu/esco/skill/306d9964-2d32-4952-927a-e836bf7041ab"
"supplier management";"The methods and techniques to ensure that external services and configuration items, which are necessary for the service delivery, are available as requested and as agreed at the service level.";"knowledge";"http://data.europa.eu/esco/skill/fe1ec582-d63b-466c-9149-e7fc4fe93e22"
"design stained glass";"Create sketches and designs for stained glass objects, e.g. windows.";"skill";"http://data.europa.eu/esco/skill/48b138fd-65d9-46f3-b724-ad1bfce379d8"
"translate spoken language";"Translate the dialogue between two speakers and the speeches of individuals into written text, oral or sign language in your mother tongue or in a foreign language.";"skill";"http://data.europa.eu/esco/skill/aa7062ed-ebfb-4876-8fa5-a7c72c8b6ffb"
"inspect construction of ships";"Inspect ship surfaces, windows, and ventilation systems, heating systems, toilets, and drainage systems; maintain and store equipment required for trip.";"skill";"http://data.europa.eu/esco/skill/d4f7cf8d-0d14-483b-9840-4b4583dcc0f2"
"market trends in sporting equipment";"Latest trends and developments on the sports equipment market.";"knowledge";"http://data.europa.eu/esco/skill/0833f2b7-b513-4d81-a93a-f9dee77d4fe1"
"pests and diseases";"Types of pests and diseases and the principles of spreading and treating them.";"knowledge";"http://data.europa.eu/esco/skill/5fb523ab-25e9-43a7-a853-c785db50f6cc"
"Global Maritime Distress and Safety System";"The internationally agreed-upon set of safety procedures, types of equipment and communication protocols used to increase safety and make it easier to rescue distressed ships, boats and aircraft.";"knowledge";"http://data.europa.eu/esco/skill/e93acbe5-535a-4927-9e7c-3b2e06ddfee8"
"ensure refrigeration of food in the supply chain";"Apply different procedures to maintain the chain of temperature of foodstuffs and products in each stage of the production and supply chain.";"skill";"http://data.europa.eu/esco/skill/21d5f9c6-c35d-4c70-bbc5-f32cbd7b2500"
"prepare horoscopes";"Make a prediction of a person's future, analyse a person's character, including talents, compatibility of two persons, the best moment to start a journey or get married, based on that person's birth date and the relative positioning of celestial objects based on astrological interpretation. These forecasts can be daily, weekly or monthly. Use specialised software to draw different types of astrological charts, such as birth charts, transit charts, solar return charts, synastry charts or progressed charts.";"skill";"http://data.europa.eu/esco/skill/d91ddb66-67e9-4363-a2cb-a07f811bb027"
"use stenotype machines";"Recognize the setting of keys in stenotype machines and understand the phonetics of words and syllabes represented in these kinds of machines to allow high typing.";"skill";"http://data.europa.eu/esco/skill/21ea63c6-6b2a-4381-9e7d-51ddcf3d5f67"
"financial markets";"The financial infrastructure which permits trading securities offered by companies and individuals govern by regulatory financial frameworks.";"knowledge";"http://data.europa.eu/esco/skill/905b6acd-377b-46b9-9d80-e47e9ca789ca"
"wine characteristics";"The origins and characteristics of international wines.";"knowledge";"http://data.europa.eu/esco/skill/13bf8e76-044a-43c3-9924-ee6d99b50a9f"
"advise on aquaculture products supply chain";"Provide support and advice in aquaculture supply chain related activities such as packaging design and logistics.";"skill";"http://data.europa.eu/esco/skill/ad1a9aae-1edc-4863-bf5a-72864e127ff4"
"use wire processing machinery";"Be able to use wire processing machines, such as wire cutting machines, wire crimping machines, and wire stripping machines.";"skill";"http://data.europa.eu/esco/skill/7f8d7116-6d80-49eb-86b1-8327aa15ac5f"
"financial jurisdiction";"Financial rules and procedures applicable to a certain location, whose regulatory bodies decide on its jurisdiction";"knowledge";"http://data.europa.eu/esco/skill/e4c205f6-55ba-4bed-9c5d-2032058300c0"
"assist emergency services";"Assist the police and emergency services where needed.";"skill";"http://data.europa.eu/esco/skill/2adc2a4a-bb29-4a7f-aab7-d1a21bf08b9e"
"set up sound equipment";"Set up equipment to record sound. Test acoustics and make adjustments.";"skill";"http://data.europa.eu/esco/skill/20c6a2ec-ef98-4f95-8a16-c8006d9242ba"
"types of optical instruments";"Possess information on the types of optical instruments and lenses, such as microscopes and telescopes, as well as on their mechanics, components, and characteristics.";"knowledge";"http://data.europa.eu/esco/skill/3ab7c355-94f2-4b07-ab1b-4dcb29745b0e"
"sporting equipment usage";"Have knowledge of the correct operation and maintenance of sporting equipment.";"knowledge";"http://data.europa.eu/esco/skill/61a9724c-ffab-4a69-a609-e593caf6f87b"
"nutrition";"The science that investigates the various substances and nutrients (proteins, carbohydrates, tannins, anthocyanins, vitamins, and minerals) and their interaction in food products.";"knowledge";"http://data.europa.eu/esco/skill/13d96098-2ff0-46b8-b326-b7c0e18cc1f1"
"create digital game characters";"Develop a typology of characters for digital games and identify their exact role in the gameplay and the narrative.";"skill";"http://data.europa.eu/esco/skill/546a96b1-5f0a-4c80-b3c5-8ac0830d9f0e"
"train animals";"Train animals to facilitate their routine husbandry, for treatment, and/or public demonstrations.";"skill";"http://data.europa.eu/esco/skill/a5e4890e-85c4-470b-84be-66095378b624"
"electricity consumption";"The different factors which are involved in the calculation and estimation of electricity consumption in a residence or facility, and methods in which electricity consumption can be lowered or made more efficient.";"knowledge";"http://data.europa.eu/esco/skill/21c27eba-bd1f-42f5-a1d5-c250227030f7"
"warehouse operations";"Know the basic principles and practices of warehouse operations such as goods storage. Understand and satisfy customer needs and requirements while effectively utilising warehouse equipment, space and labour.";"knowledge";"http://data.europa.eu/esco/skill/089ddb19-1c7a-43ff-ba64-070f7ce4787a"
"install irrigation systems";"Install and shift irrigation systems to distribute water according to needs.";"skill";"http://data.europa.eu/esco/skill/aa43f245-7201-4d05-bd52-57f6c262f3ed"
"acting and directing techniques";"Range of training and rehearsal techniches that seek to encourage emotionally expressive performances. Techniques to address all aspects in making a film, play, performance in general. ";"knowledge";"http://data.europa.eu/esco/skill/91fc256e-00ec-4367-b3b4-dcd564ed3fd2"
"plan oil wells";"Develop engineering plans and supervise activities necessary to successfully drill a well.";"skill";"http://data.europa.eu/esco/skill/821c1504-20b0-4e47-9e69-6a565d17151d"
"manage habitats";"Create and manage natural habitats.";"skill";"http://data.europa.eu/esco/skill/a28c96cd-a43d-4143-b992-903356d0923e"
"apply fishery biology to fishery management";"Manage fisheries resources by applying specific techniques based on fishery biology.";"skill";"http://data.europa.eu/esco/skill/ecadff1d-9ba6-4802-bd27-6f534ab5c478"
"supervise equipment";"Start up and shut down equipment; identify and troubleshoot technical problems and conduct minor repairs. Monitor control equipment in order to identify safety and environmental hazards.";"skill";"http://data.europa.eu/esco/skill/ca17f0df-59e4-4ed2-9360-fc5325bc7151"
"apply socially just working principles";"Work in accordance with management and organisational principles and values focusing on human rights and social justice.";"skill";"http://data.europa.eu/esco/skill/bc401d18-9bea-4300-90fd-22bfa286bd77"
"parking regulations";"The up-to-date regulations and enforcement procedures in parking activities.";"knowledge";"http://data.europa.eu/esco/skill/656ae836-2075-459f-8967-03706d4ac2bb"
"operate gas extraction equipment";"Operate the equipment used for oxygen and nitrogen extraction equipment such as compressors, fractionating columns, heat exchangers and purifying towers.";"skill";"http://data.europa.eu/esco/skill/b46b3e55-4a2b-4cb1-977f-87ce3cc2db2c"
"computerised feeding systems";"The functioning of computered controlled systems that provide animal feeding.";"knowledge";"http://data.europa.eu/esco/skill/c7282ec3-9153-4b4b-b7de-777e3207b04e"
"history of musical instruments";"The historical background and chronology of various musical instruments.";"knowledge";"http://data.europa.eu/esco/skill/b40296ac-7c83-468a-b23d-6daccea78806"
"ensure ambulance roadworthiness";"Check, prior to service, that the ambulance is working properly and that no technical defaults are risking the continuation of the ambulance service.";"skill";"http://data.europa.eu/esco/skill/fadca1ff-c4a9-46ed-9740-a42bd3991618"
"manage the customer experience";"Monitor, create and oversee customer experience and perception of brand and service. Ensure pleasant customer experience, treat customers in a cordial and courteous manner.";"skill";"http://data.europa.eu/esco/skill/4b95c7bb-5672-4e4a-88ea-ba96c12e8ca2"
"create wigs";"Design and maintain wigs and hairpieces.";"skill";"http://data.europa.eu/esco/skill/955e770e-9d0d-4968-9856-0fe55992985f"
"set up drip irrigation system";"Connect all necessary parts of a drip irrigation system, including any filtration devices, sensors and valves. Lay out the irrigation pipes along the covered surface according to a specified design.";"skill";"http://data.europa.eu/esco/skill/279a4bcc-2c02-4de8-a249-f5a4fe3ad182"
"immigration law";"The regulations to follow to ensure compliance during investigations or advice in immigration cases and file handling.";"knowledge";"http://data.europa.eu/esco/skill/7da0b396-34d7-4714-ada4-78d222e515a0"
"operate seismic equipment";"Move seismic equipment to different locations; utilise seismometers; observe recording equipment in order to detect anomalies and irregularities; process and interpret seismic data both in 2D as in 3D.";"skill";"http://data.europa.eu/esco/skill/574032f3-e427-49ad-8d88-2341ac6e1a7d"
"engineer seismic equipment";"Develop, try out, adjust and repair seismic equipment.";"skill";"http://data.europa.eu/esco/skill/071de01d-c665-4984-9272-63e02b65b471"
"document seismic research";"Compose documents and work logs, compile charts and reports.";"skill";"http://data.europa.eu/esco/skill/336f4602-7847-4e58-b0ec-9a4da3d94ecd"
"irrigate soil";"Irrigate soil using portable pipes or ditches. Maintain ditches, pipes and pumps as required.";"skill";"http://data.europa.eu/esco/skill/a5b308e8-78b7-4376-bdf8-7dfe047d62a2"
"tram network";"Know the tram system in order to determine how to maintain tram services while causing minimal disruption to customers in the event of incidents.";"knowledge";"http://data.europa.eu/esco/skill/19c47caf-08b6-4430-9e09-0c11cb42c78a"
"specialist nursing care";"The analysis of complex clinical problems, the diagnosis, initiation and evaluation treatment for patients in a multi-professional arena, within the field of specialisation.";"knowledge";"http://data.europa.eu/esco/skill/99a09006-31f4-41d3-b3aa-feb2aeff730b"
"perform scientific research";"Gain, correct or improve knowledge about phenomena by using scientific methods and techniques, based on empirical or measurable observations.";"skill";"http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc"
"follow client animal handling programme";"Handle and train animals using the methods and resources specified by the owner.'";"skill";"http://data.europa.eu/esco/skill/e5467142-5fb1-4dba-a288-120d5b3d22ea"
"meet the requirements of legal bodies";"Ensure the practice methods and procedures used are in compliance with the regulations and requirements of the legal governing authority in the field.";"skill";"http://data.europa.eu/esco/skill/4cc2ede9-6ad7-44fa-9709-3ec4d3116e48"
"assess each stage of the creative process";"Assess and keep track of the work accomplished, analysing it for the artistic intent.";"skill";"http://data.europa.eu/esco/skill/705ee92e-8cc4-4c86-9321-88e0821373a7"
"troubleshoot";"Identify operating problems, decide what to do about it and report accordingly.";"skill";"http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40"
"energy";"Power capacity in the form of mechanical, electrical, heat, potential, or other energy from chemical or physical resources, which can be used to drive a physical system.";"knowledge";"http://data.europa.eu/esco/skill/1e38f5be-bb7d-42c5-8301-c16cf400f8ee"
"follow research on special needs education";"Keep up to date with new studies and related upcoming regulations concerning education for students with special needs.";"skill";"http://data.europa.eu/esco/skill/b23d8ad9-3b81-4846-a822-3d9c66393460"
"personnel management";"The methodologies and procedures involved in the hiring and development of employees in order to ensure value for the organisation, as well as personnel needs, benefits, conflict resolution and ensuring a positive corporate climate.";"knowledge";"http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473"
"framework for a safety management system";"The different types of content in a framework for a safety management system, which should include safety policy and objectives, safety risk management, safety assurance, and safety promotion.";"knowledge";"http://data.europa.eu/esco/skill/81672802-5463-4676-87aa-3d0f7d8d4f8e"
"manage waste";"Manage or dispose of significant amounts of waste materials or hazardous materials. Ensure required licenses and permits are in place and reasonable management practices, industry standards, or commonly accepted farming practices followed.";"skill";"http://data.europa.eu/esco/skill/73a9561d-112c-4d8a-9d5f-b2c11c5bbd5f"
"remote sensing techniques";"The different techniques to obtain information on objects and phenomena on Earth's surface without having physical contact with them, such as electromagnetic radiation, radar imaging, and sonar imaging.";"knowledge";"http://data.europa.eu/esco/skill/cbb330ab-55ac-4eec-b54c-b85c6219f508"
"speak different languages";"Master foreign languages to be able to communicate in one or more foreign languages.";"skill";"http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac"
"select animals for training";"Select animals for training using selection criteria including intended outcome of training, age, temperament, species and breed differences. Selection of animals for training includes basic training or training to meet specific objectives.";"skill";"http://data.europa.eu/esco/skill/79dd169b-286e-4ff5-be78-e15cb62236b7"
"catch poultry";"Catching the poultry for examination, handling or movement.";"skill";"http://data.europa.eu/esco/skill/6b648b57-debd-4bf7-8524-48921596c855"
"attend to children's basic physical needs";"Tend to children by feeding them, dressing them, and, if necessary, regularly changing their diapers in a sanitary manner.";"skill";"http://data.europa.eu/esco/skill/beb952e4-8a9c-47af-8a60-c6eb5c5f25bc"
"teach languages";"Instruct students in the theory and practice of a language. Use a wide range of teaching and learning techniques to promote proficiency in reading, writing, listening, and speaking in that language.";"skill";"http://data.europa.eu/esco/skill/a9ead737-a7cd-4046-adea-1ff7326db09f"
"provide animal training";"Provide training in basic handling, habituation, and obedience to enable the completion of day-to-day tasks while minimising the risks to the animal, the handler, and others.'";"skill";"http://data.europa.eu/esco/skill/d92d88cf-dd72-4c3b-a98a-2c2a12600df3"
"promote inclusion in organisations";"Promote diversity and equal treatment of genders, ethnicities and minority groups in organisations in order to prevent discrimination and ensure inclusion and a positive environment.";"skill";"http://data.europa.eu/esco/skill/117df904-d348-4f14-bc92-feaaccba4ece"
"manage logistics";"Create logistic framework for transporting goods to customers and for receiving returns, execute and follow up the logistics processes and guidelines.";"skill";"http://data.europa.eu/esco/skill/953c0b65-537a-42fe-a90b-26cd36c64361"
"adolescent psychological development";"Understand the developments and the development needs of children and young persons, observing the behaviour and the attachment relationships in order to detect developmental delay.";"knowledge";"http://data.europa.eu/esco/skill/9ccecb58-e720-4465-b309-46e362ca6f75"
"types of trams";"Know different types of trams and their technical operating requirements. There are various forms of tram, such as cable-hauled, hybrid funicular electric, electric (trolley cars), gas trams, and trams powered by other means.";"knowledge";"http://data.europa.eu/esco/skill/328dd036-0a75-4a29-ac6d-a779f5e3f3a0"
"identify education needs";"Identify the needs of students, organisations and companies in terms of provision of education in order to aid in the development of curricula and education policies.";"skill";"http://data.europa.eu/esco/skill/7c89d065-c50d-4129-b963-b73e62e58ba4"
"migration";"The movement of people from one geographical location to another, and the commensurate impact on social, cultural, political and economical aspects.";"knowledge";"http://data.europa.eu/esco/skill/b483124c-180c-4d3a-8b7c-72e4e7a5b49b"
"verify qualifications of water transport crew";"Verify the qualifications of a ship's crew and officers, in accordance with the regulatory requirements. Define whether passengers or cargo are being transported.";"skill";"http://data.europa.eu/esco/skill/95bbefbd-3c7f-47da-9f73-cc3f93551f8b"
"organise irrigation";"Plan and assist with irrigation scheduling and operation.";"skill";"http://data.europa.eu/esco/skill/4b8269fa-20e2-4d6c-90da-2e5f633c6326"
"ensure conformity to specifications";"Ensure that the assembled products are conform to the specifications given.";"skill";"http://data.europa.eu/esco/skill/efc5534d-3631-4564-a7b0-f6ae558f3c03"
"batch tank types";"Variety of batch tanks such as vertical batch tanks, vertical batch tanks, cone bottom batch tanks, cone bottom batch tanks, and batch tank lids and their correct operation according to requirements. ";"knowledge";"http://data.europa.eu/esco/skill/58e32d18-1626-4f5a-a9e4-732e22ad3064"
"ICT power consumption";"The energy consumption and types of models of software as well as hardware elements.";"knowledge";"http://data.europa.eu/esco/skill/f88002a8-6355-4d33-9496-285c166ff375"
"develop virtual game engine";"Create a virtual software framework that abstracts the details of doing common game-related tasks.";"skill";"http://data.europa.eu/esco/skill/7d5ff73e-7bea-436d-974f-3a51ce24a138"
"asylum systems";"The systems which grant refugees who flee persecution or harm in their home nation access to protection in another nation.";"knowledge";"http://data.europa.eu/esco/skill/28b461d2-4a53-4629-9e61-77f31998c9c8"
"maintain irrigation systems";"Install irrigation, plumbing and sprinkler systems. Inspect and assess these systems according to agreed time schedules. Identify defects and wear in irrigation systems and arrange repairs.";"skill";"http://data.europa.eu/esco/skill/cb073ba6-30bd-4fd5-871a-15b0fb1fa930"
"mechanical composition of trams";"Understand the mechanical composition of trams; have the ability to identify and report any damage or malfunction to central operations.";"knowledge";"http://data.europa.eu/esco/skill/913a0c87-5482-4765-a085-03cad1b42ec2"
"radiological procedures";"The radiological procedures with digital imaging and other imaging techniques.";"knowledge";"http://data.europa.eu/esco/skill/932e60c4-118a-4280-8e49-38a16a0c73d0"
"migrate existing data";"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems.";"skill";"http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377"
"install SSTI system";"Install a subsurface textile irrigation system. Attach all necessary parts, including any filtration devices, valves, and sensors. Bury the underground parts of the SSTI system under the ground at the specified depth.";"skill";"http://data.europa.eu/esco/skill/205ef861-188f-45a5-aa14-d9d19a2622fc"
"bridge engineering";"Thoroughly understand principles and characteristics of bridge management, bridge deck loading, bridge durability, steel and composite bridge design, long span bridges, etc.";"knowledge";"http://data.europa.eu/esco/skill/3eb03076-6fb4-48a1-8b36-36b5a5031ead"
"specify digital game scenes";"Describe scenes of digital games by communicating and cooperating with artistic crew, designers and artists in order to define the scope of the game's virtual environments.";"skill";"http://data.europa.eu/esco/skill/a96dea4e-1c76-4808-8f18-3ce662ff82cb"
"office software";"The characteristics and functioning of software programs for office tasks such as word processing, spreadsheets, presentation, email and database.";"knowledge";"http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2"
"update language skills";"Research or practice language skills to stay current with language changes in order to best translate or interpret.";"skill";"http://data.europa.eu/esco/skill/ee21af25-7dff-47eb-9863-b5b944105a06"
"crisis intervention";"Coping strategies in crisis cases which allow individuals to overcome their problems or fears and avoid psychological distress and breakdown.";"knowledge";"http://data.europa.eu/esco/skill/8e261d1c-12c0-498e-bfc2-ec0c16496c68"
"gas chromatography";"The principles of gas chromatography used to analyse and separate specific compounds which go to vaporisation without decomposition.";"knowledge";"http://data.europa.eu/esco/skill/657c5a25-903c-4669-9efc-46c85c176fbf"
"high-performance liquid chromatography";"Analytic chemistry technique used to identify and quantify the components of a mixture.";"knowledge";"http://data.europa.eu/esco/skill/56d88178-99d4-400d-9415-d700ce6a29f3"
"compose digital game story";"Create a digital game story by writing out a detailed plot and storyboard with descriptions and gameplay objectives.";"skill";"http://data.europa.eu/esco/skill/208b41bd-3b61-4439-b3ca-d39628dd7fe3"
"older adults' needs";"The physical, mental, and social needs of frail, older adults.";"knowledge";"http://data.europa.eu/esco/skill/634865e0-2ec2-4b7f-bb7f-c196637f0f7b"
"safe management of medicines";"The methods and principles required to handle, store and prescribe medication with the aim of improving the safety and quality of medication usage.";"knowledge";"http://data.europa.eu/esco/skill/2d6904db-9e16-42a5-bc12-c5acb8bfab18"
"types of weave for wire mesh";"Various types of weave patterns used in the manufacturing of wire mesh, such as plain weave, Dutch weave, twilled weave, five heddle weave.";"knowledge";"http://data.europa.eu/esco/skill/19d82e9c-2801-4a83-8f81-c6ac4b0c02be"
"cook sauce products";"Prepare soups, hot sauces, cold sauces and dressings.";"skill";"http://data.europa.eu/esco/skill/614478b3-51a2-4a55-b3ef-a932105eaeaf"
"shipping industry";"The different services such as liner services, maritime transportation and shipload services offered by maritime organisations and the shipping market including the sale of vessels, goods or commodities.";"knowledge";"http://data.europa.eu/esco/skill/1e1b2e9d-7254-4389-a432-433a932ee1ae"
"practice circus disciplines";"Have a very high level of practical and technical skills and competences of one or several chosen circus disciplines in order to enter into the professional circus field.";"skill";"http://data.europa.eu/esco/skill/1b509156-3e4d-4eb2-98a7-d1fd1188e2c2"
"fighting fires at aquaculture facilities";"The methods and equipment required to extinguisht fires occured in aquaculture settings.";"knowledge";"http://data.europa.eu/esco/skill/a04aa194-b706-44c4-8307-2e611a1f092f"
"make accurate drawings";"Make accurate technical drawings to scale from sketches, drawings, and verbal instructions.";"skill";"http://data.europa.eu/esco/skill/d57752ff-dc3f-45f6-908c-e97b9255f721"
"prepare containers for beverage distillation";"Prepare containers or drums for beverage distillation. Prepare equipment for the process of purification and removal of diluting components like water, for the purpose of increasing its proportion of alcohol content.";"skill";"http://data.europa.eu/esco/skill/9af8bb91-0e77-42b2-b991-9f2694bfef4e"
"types of folders";"The distinction between buckle folders; where paper is folded and squeezed, plow folders that reduce printing costs and include several glue systems, and knife folders that strike the paper between two rollers by using knives through cross folding.";"knowledge";"http://data.europa.eu/esco/skill/d397a883-8e97-4b7e-bfd2-d07fc0aa6d3d"
"set up automotive robot";"Set up and programme an automotive robot working on machine processes and substituting or collaboratively supporting human labour, such as the six-axis automotive robot.";"skill";"http://data.europa.eu/esco/skill/e975b791-b488-4935-be44-06f2f9a443bb"
"operate core drilling equipment";"Operate an exploration drilling machine, which may be mobile or stationary, to drill and extract cores. React quickly to auditory and other changes to determine the course of action.";"skill";"http://data.europa.eu/esco/skill/a57efaaf-0b4a-4d4a-9a7a-70c9dcfa1a48"
"biofilter systems";"The techniques used to control pollution via biofiltration processes.";"knowledge";"http://data.europa.eu/esco/skill/b2b970ad-0276-4069-ba31-899a53191b95"
"identify progression of disease";"Recognise changing signs, symptoms and progression of disease and make appropriate decisions related to the continuation or changing of the treatment.";"skill";"http://data.europa.eu/esco/skill/432439cc-ae2a-4788-8f84-d69297dff68e"
"financial capability";"Financial operations such as calculations, cost estimations, budget management taking relevant commercial and statistical data into account such as data for materials, supplies and manpower.";"knowledge";"http://data.europa.eu/esco/skill/811bdb9d-5bf7-4b5a-a3f5-4fc2002f6d57"
"put adhesive on plies";"Put adhesive on plies by operating the cement stick on drum edge.";"skill";"http://data.europa.eu/esco/skill/05fac72a-7c56-4819-974e-9e4159703731"
"types of stamping press";"Types of stamping press with similar applications but different propulsion, such as the direct drive press, single gear reduction press and double gear reduction press.";"knowledge";"http://data.europa.eu/esco/skill/eff639b4-c8ac-437f-8f06-e85248660dff"
"stamping press parts";"Components of a stamping press, such as bolster plate, ram, automatic feeder and tonnage monitor, their qualities and applications.";"knowledge";"http://data.europa.eu/esco/skill/e1eb6502-1ef6-4421-8f17-2597378f8ed6"
"pin parquet";"Use air fired pins to pin parquet to the underfloor while the adhesive cures. Fill the resulting holes with putty.";"skill";"http://data.europa.eu/esco/skill/1c5266f7-77ba-440c-bd09-1d5037fe9d74"
"eye protection regulations";"Eye protection regulations and relevant standards in relation to occupational visual requirements.";"knowledge";"http://data.europa.eu/esco/skill/8fd5cc16-8d8a-4ae4-b557-9847207e9483"
"palliative care";"The methods of pain relief and quality of life improvement for the patients with serious illnesses.";"knowledge";"http://data.europa.eu/esco/skill/c5a80bb0-31e6-4de0-868c-00a0f9b88b47"
"evaluate pharmaceutical manufacturing process";"Evaluate the ongoing pharmaceutical production process against the latest developments on the market regarding the mixing, compounding and packaging, ensuring the necessary updates are implemented.";"skill";"http://data.europa.eu/esco/skill/ad320551-6c52-4fa3-bee9-558a44ed1e2a"
"monitor programming finances";"Oversee the monitoring of the budgets for each production, and find as many funds and sponsors as necessary in order to contribute to the financial optimisation of the production.";"skill";"http://data.europa.eu/esco/skill/779f5db1-66db-4790-90db-818bcaddcc29"
"operate forging tongs";"Operate the appropriate forging tools and equipment safely, including forging tongs for handling and moving hot metal workpieces during forging processes.";"skill";"http://data.europa.eu/esco/skill/76907859-b798-4683-8d22-ed364a38e7aa"
"food toxicity";"The causes of food poisoning and spoilage, and the preservation methods of food products so as to prevent toxicity from customers.";"knowledge";"http://data.europa.eu/esco/skill/4e081e0a-e25f-4f6e-9c75-e9043ba08aad"
"conduct cancer screening tests";"Undertake screening test at an early stage, before cancer symptoms appear, taking physical exams, laboratory tests, imaging procedures and genetic tests.";"skill";"http://data.europa.eu/esco/skill/1bd03b9b-835e-4719-ac20-d2d547840061"
"design process";"Identify the workflow and resource requirements for a particular process, using a variety of tools such as process simulation software, flowcharting and scale models.";"skill";"http://data.europa.eu/esco/skill/2c28fc20-8a60-4311-8899-5ef8729c05b3"
"public finance";"The economic influence of the government, and the workings of government revenue and expenditures.";"knowledge";"http://data.europa.eu/esco/skill/387ee646-0aaa-4161-ab3b-cde87ec09fdf"
"operate rollers";"Operate the rollers to bond the plies and tread. Set-up the ply stitcher rollers, ensuring they are according to the specified width of stock.";"skill";"http://data.europa.eu/esco/skill/7e9ac258-841c-4ab4-8497-c03aa4e01294"
"manufacture woven fabrics";"Perform the operation, monitoring and maintenance of machines and processes to manufacture woven fabrics.";"skill";"http://data.europa.eu/esco/skill/6050ffaa-88b8-45d5-99c7-3fa882ea596a"
"tend mechanical forging press";"Tend a mechanical forging press, designed for forming hot or cold metal by use of a high energy force mechanically, monitor and operate it, according to regulations.";"skill";"http://data.europa.eu/esco/skill/f0ae209a-e9d7-4437-a2c3-d615d653d620"
"control glass fibres flow";"Control and adjust the parameters to maintain the appropriate pressure, temperature and flow rate of the molten fibreglass through the spray jets.";"skill";"http://data.europa.eu/esco/skill/da34f93c-c75d-49a6-9f8a-4ca2ac450694"
"chemical preservation";"Process of adding chemical compounds to a product, such as food or pharmaceutical products, to prevent decay caused by chemical changes or microbial activity.";"knowledge";"http://data.europa.eu/esco/skill/22a40965-a2c7-43c4-853e-e0fd412383bd"
"manufacture knitted textiles";"Perform the operation, monitoring and maintenance of machines and processes to manufacture knitted products keeping efficiency and productivity at high levels.";"skill";"http://data.europa.eu/esco/skill/50833e34-8e85-4cf7-9b7b-c2a9f1893d5b"
"manage IT security compliances";"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security.";"skill";"http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40"
"tend drop forging hammer";"Tend a drop forging hammer, designed for forming hot or cold metal by use of a high energy force, monitor and operate it, according to regulations.";"skill";"http://data.europa.eu/esco/skill/5f8d7a45-0afd-4e1c-82a0-e02109e4b0e8"
"apply water transfer printing techniques";"Confer a printed, often decorative, coat from a basecoat sheet to a metal surface by dipping the metal workpiece in a hydro dip tank filled with water at a temperature of 30 to 33 degree celcius and the sheet with the desired print.";"skill";"http://data.europa.eu/esco/skill/94c708e0-6380-4db0-ad8d-764bac6d93f1"
"apply adhesive wall coating";"Apply an adhesive coating, usually based on PVA, to a wall to ensure a good bond between the wall and a covering layer, such as plaster.";"skill";"http://data.europa.eu/esco/skill/c3b0b86c-c147-4544-8934-dba667a3e8be"
"process data";"Enter information into a data storage and data retrieval system via processes such as scanning, manual keying or electronic data transfer in order to process large amounts of data.";"skill";"http://data.europa.eu/esco/skill/f2d57f41-43b4-4f5b-8100-3df5c21eda50"
"extract products from moulds";"Remove finished products from moulds and examine them in detail for anomalies.";"skill";"http://data.europa.eu/esco/skill/8794f8b6-8217-4e1e-91c8-ae1345bb4f7e"
